influence	blend_in	special	leader	authority
647	yes	yes	yes	yes	yes
648	no	no	yes	yes	no
649	yes	yes	no	yes	yes
650	yes	no	no	no	no
651	yes	yes	no	no	yes
652	yes	yes	yes	yes	yes
653	yes	no	yes	yes	yes
654	no	yes	no	no	no
655	yes	yes	yes	yes	yes
656	yes	yes	no	no	yes
657	yes	no	yes	yes	no
658	yes	yes	yes	no	yes
659	yes	no	yes	yes	yes
660	yes	no	yes	yes	yes
661	no	no	no	no	no
662	yes	yes	yes	yes	no
663	no	no	no	no	no
664	no	no	yes	yes	yes
665	no	yes	yes	yes	yes
666	no	yes	no	no	no
667	yes	no	no	no	no
668	yes	yes	no	yes	no
669	yes	yes	no	no	yes
670	no	yes	no	yes	no
671	no	yes	no	no	yes
672	no	yes	yes	no	yes
673	no	yes	yes	yes	yes
674	yes	yes	yes	no	no
675	yes	no	yes	no	no
676	no	no	yes	no	yes
677	yes	no	yes	yes	no
678	yes	no	no	no	no
679	no	yes	no	no	no
680	yes	no	yes	no	no
681	no	yes	no	no	no
682	yes	no	no	no	yes
683	yes	yes	yes	no	no
684	yes	yes	no	yes	yes
685	yes	yes	yes	yes	yes
686	yes	yes	yes	yes	yes
687	yes	yes	no	yes	no
688	yes	yes	yes	yes	yes
689	yes	yes	no	no	no
690	yes	yes	yes	yes	yes
691	yes	yes	no	yes	yes
692	yes	yes	no	yes	yes
693	yes	yes	yes	no	no
694	yes	yes	yes	yes	no
695	yes	yes	no	yes	no
696	yes	yes	no	yes	no
697	no	yes	yes	no	yes
698	no	yes	no	no	no
699	yes	no	no	yes	no
700	yes	yes	yes	yes	yes
701	yes	yes	yes	no	no
702	no	yes	yes	no	yes
703	yes	no	yes	yes	no
704	no	yes	no	no	no
705	yes	no	no	no	no
706	yes	yes	yes	no	no
707	yes	no	yes	yes	no
708	no	no	no	no	no
709	yes	yes	yes	yes	no
710	yes	yes	yes	no	no
711	yes	yes	yes	yes	no
712	yes	yes	no	yes	no
713	yes	yes	yes	yes	no
714	yes	no	no	no	yes
715	yes	no	no	no	yes
716	no	no	no	no	yes
717	no	no	yes	yes	no
718	yes	yes	yes	yes	yes
719	yes	no	yes	yes	no
720	no	yes	yes	no	no
721	no	yes	no	no	no
722	no	yes	no	yes	no
723	yes	no	yes	yes	yes
724	yes	yes	no	no	no
725	yes	no	no	yes	no
726	yes	yes	yes	no	yes
727	yes	yes	yes	yes	no
728	yes	yes	yes	yes	no
729	no	yes	no	no	no
730	yes	no	yes	no	no
731	yes	no	yes	no	no
732	yes	yes	no	yes	yes
733	yes	no	no	no	no
734	yes	no	yes	yes	no
735	yes	no	yes	yes	yes
736	no	no	yes	no	no
737	yes	no	yes	no	yes
738	yes	no	yes	yes	yes
739	no	yes	no	no	no
740	yes	no	yes	yes	yes
741	yes	yes	no	no	yes
742	yes	no	yes	no	no
743	yes	yes	yes	no	no
744	no	yes	no	yes	yes
745	no	yes	no	no	no
746	no	no	no	no	no
747	no	yes	no	yes	no
748	yes	yes	yes	yes	no
749	yes	yes	no	yes	yes
750	yes	yes	no	no	no
751	yes	yes	no	yes	yes
752	no	no	yes	yes	yes
753	yes	no	yes	yes	yes
754	no	yes	no	no	no
755	no	yes	no	no	no
756	yes	yes	no	no	no
757	no	yes	yes	yes	no
758	yes	yes	yes	no	no
759	yes	no	no	no	no
760	no	yes	yes	yes	yes
761	yes	no	yes	no	yes
762	yes	no	yes	yes	yes
763	no	yes	no	no	no
764	no	yes	no	no	no
765	yes	yes	no	yes	no
766	yes	no	yes	yes	no
767	yes	yes	no	yes	yes
768	no	yes	no	yes	yes
769	yes	no	no	yes	yes
770	yes	no	yes	yes	yes
771	yes	yes	yes	no	no
772	no	yes	no	yes	no
773	no	yes	yes	no	yes
774	no	yes	yes	yes	yes
775	yes	yes	yes	no	yes
776	yes	yes	no	yes	yes
777	yes	no	yes	yes	yes
778	yes	yes	no	yes	no
779	yes	no	yes	yes	yes
780	no	yes	yes	no	no
781	no	yes	no	no	no
782	no	yes	yes	no	yes
783	no	yes	no	no	no
784	yes	no	yes	yes	yes
785	yes	yes	no	no	no
786	no	yes	no	no	no
787	yes	no	yes	yes	yes
788	no	yes	yes	no	yes
789	yes	no	no	no	yes
790	yes	yes	no	yes	no
791	yes	yes	no	yes	yes
792	no	yes	no	yes	no
793	yes	yes	yes	yes	no
794	yes	yes	yes	no	no
795	yes	no	yes	yes	yes
796	yes	yes	no	yes	yes
797	no	no	no	no	no
798	yes	yes	yes	yes	no
799	yes	no	yes	yes	yes
800	yes	yes	no	no	no
801	yes	no	yes	yes	yes
802	yes	no	yes	yes	no
803	no	no	yes	no	no
804	yes	no	yes	yes	yes
805	yes	yes	no	yes	yes
806	no	yes	yes	no	no
807	yes	no	yes	yes	yes
808	yes	yes	no	yes	no
809	no	yes	no	yes	no
810	no	yes	yes	yes	yes
811	no	no	no	yes	no
812	no	yes	no	no	no
813	yes	no	no	yes	yes
814	yes	no	yes	yes	yes
815	yes	no	no	yes	no
816	no	yes	yes	yes	yes
817	no	yes	yes	no	no
818	no	yes	no	no	no
819	yes	yes	no	yes	yes
820	no	yes	no	yes	yes
821	yes	yes	yes	yes	no
822	yes	no	yes	no	yes
823	yes	yes	no	no	yes
824	no	yes	yes	no	no
825	no	yes	yes	no	yes
826	no	yes	no	no	no
827	yes	yes	no	no	no
828	yes	yes	no	yes	no
829	yes	no	yes	yes	no
830	no	yes	yes	no	yes
831	no	yes	no	yes	no
832	yes	yes	yes	no	no
833	yes	yes	yes	no	no
834	yes	yes	no	yes	no
835	yes	yes	no	no	no
836	yes	yes	yes	yes	yes
837	yes	yes	yes	yes	yes
838	yes	yes	no	yes	yes
839	no	yes	no	yes	yes
840	no	yes	no	no	no
841	no	yes	yes	yes	yes
842	no	yes	no	no	no
843	yes	yes	yes	yes	yes
844	no	yes	yes	no	yes
845	yes	yes	no	no	no
846	yes	yes	no	no	no
847	yes	no	yes	no	yes
848	yes	yes	no	no	yes
849	yes	yes	no	yes	no
850	yes	no	yes	yes	yes
851	no	no	yes	yes	yes
852	no	yes	yes	no	yes
853	no	yes	no	yes	no
854	yes	yes	yes	yes	no
855	yes	yes	no	no	no
856	yes	yes	no	no	no
857	no	no	no	no	yes
858	no	yes	no	no	no
859	no	no	no	yes	yes
860	yes	yes	no	yes	yes
861	no	yes	yes	no	no
862	no	no	no	yes	no
863	no	yes	no	yes	no
864	yes	no	yes	no	yes
865	yes	no	no	yes	yes
866	yes	yes	yes	yes	no
867	no	yes	no	no	no
